Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
30882,New York,US,02-05-20,312977,24198
30881,New York,US,01-05-20,308314,24039
30880,New York,US,30-04-20,304372,23587
30879,New York,US,29-04-20,299691,23477
30878,New York,US,28-04-20,295106,22912
30877,New York,US,27-04-20,291996,22668
30876,New York,US,26-04-20,288045,22269
30875,New York,US,25-04-20,282143,22009
30874,New York,US,24-04-20,271590,21411
30873,New York,US,23-04-20,263460,20973
30872,New York,US,22-04-20,263292,19413
30871,New York,US,21-04-20,258361,19104
30870,New York,US,20-04-20,253060,18611
30869,New York,US,19-04-20,247815,18298
30868,New York,US,18-04-20,241712,17671
30867,New York,US,17-04-20,230597,17131
30866,New York,US,16-04-20,223691,14832
25410,,Spain,02-05-20,216582,25100
30865,New York,US,15-04-20,214454,11617
25408,,Spain,30-04-20,213435,24543
25409,,Spain,01-05-20,213435,24543
25401,,Spain,23-04-20,213024,22157
25407,,Spain,29-04-20,212917,24275
25406,,Spain,28-04-20,210773,23822
25405,,Spain,27-04-20,209465,23521
16746,,Italy,02-05-20,209328,28710
25400,,Spain,22-04-20,208389,21717
25404,,Spain,26-04-20,207634,23190
16745,,Italy,01-05-20,207428,28236
25403,,Spain,25-04-20,205905,22902
16744,,Italy,30-04-20,205463,27967
25399,,Spain,21-04-20,204178,21282
16743,,Italy,29-04-20,203591,27682
30864,New York,US,14-04-20,203020,10842
25402,,Spain,24-04-20,202990,22524
16742,,Italy,28-04-20,201505,27359
25398,,Spain,20-04-20,200210,20852
16741,,Italy,27-04-20,199414,26977
25397,,Spain,19-04-20,198674,20453
16740,,Italy,26-04-20,197675,26644
30863,New York,US,13-04-20,195749,10058
16739,,Italy,25-04-20,195351,26384
16738,,Italy,24-04-20,192994,25969
25396,,Spain,18-04-20,191726,20043
25395,,Spain,17-04-20,190839,20002
16737,,Italy,23-04-20,189973,25549
30862,New York,US,12-04-20,189033,9385
16736,,Italy,22-04-20,187327,25085
25394,,Spain,16-04-20,184948,19315
